Order_ID,Order_Date,Ship_Date,Month,Quarter,Year,Region,City,Segment,Category,Sub_Category,Product,Quantity,Sales,Discount,Profit
ORD-2001,2023-02-18,2023-02-22,February,Q1,2023,South,South City 6,Home Office,Technology,Phones,iPhone 14,3,161397,0.15,32821
ORD-2002,2023-07-06,2023-07-07,July,Q3,2023,West,West City 6,Consumer,Furniture,Bookcases,3-Shelf Bookcase,13,185302,0.05,22125
ORD-2003,2022-07-03,2022-07-10,July,Q3,2022,East,East City 4,Consumer,Office Supplies,Binders,Ring Binder,8,2592,0.1,577
ORD-2004,2022-07-28,2022-07-31,July,Q3,2022,North,North City 4,Corporate,Office Supplies,Paper,Carbon Paper,1,1034,0.05,299
ORD-2005,2023-09-02,2023-09-04,September,Q3,2023,South,South City 6,Consumer,Technology,Phones,iPhone 14,8,390536,0,140985
ORD-2006,2022-03-30,2022-04-01,March,Q1,2022,East,East City 4,Home Office,Technology,Laptops,Lenovo ThinkPad,3,114903,0,31269
ORD-2007,2022-09-21,2022-09-26,September,Q3,2022,West,West City 4,Consumer,Furniture,Bookcases,Mini Bookcase,15,94350,0.05,23520
ORD-2008,2022-05-08,2022-05-09,May,Q2,2022,North,North City 2,Consumer,Furniture,Chairs,Mesh Chair,7,61607,0.1,17253
ORD-2009,2022-09-21,2022-09-22,September,Q3,2022,East,East City 4,Consumer,Office Supplies,Paper,Glossy Paper,1,345,0.1,45
ORD-2010,2022-12-11,2022-12-18,December,Q4,2022,West,West City 2,Corporate,Furniture,Tables,Corner Desk,2,6462,0.15,1710
ORD-2011,2022-11-15,2022-11-22,November,Q4,2022,South,South City 6,Home Office,Office Supplies,Pens,Ball Pen Pack,14,20090,0.05,5901
ORD-2012,2023-11-22,2023-11-28,November,Q4,2023,South,South City 6,Corporate,Furniture,Tables,Standing Desk,15,236970,0,54727
ORD-2013,2022-11-25,2022-12-02,November,Q4,2022,West,West City 4,Home Office,Technology,Laptops,Asus VivoBook,15,345945,0.2,35377
ORD-2014,2023-11-26,2023-12-02,November,Q4,2023,West,West City 2,Consumer,Furniture,Tables,Conference Table,6,143148,0.1,47590
ORD-2015,2023-11-12,2023-11-18,November,Q4,2023,South,South City 3,Home Office,Furniture,Bookcases,Mini Bookcase,12,301704,0.15,86718
ORD-2016,2023-11-04,2023-11-08,November,Q4,2023,North,North City 4,Consumer,Office Supplies,Binders,Spiral Binder,1,2903,0.05,644
ORD-2017,2022-07-30,2022-08-02,July,Q3,2022,West,West City 1,Corporate,Office Supplies,Binders,File Folder,4,2320,0.1,214
ORD-2018,2022-03-01,2022-03-05,March,Q1,2022,East,East City 3,Corporate,Office Supplies,Binders,File Folder,4,7064,0.15,1902
ORD-2019,2023-04-17,2023-04-20,April,Q2,2023,South,South City 3,Consumer,Furniture,Bookcases,Mini Bookcase,7,178010,0.1,24840
ORD-2020,2023-04-20,2023-04-25,April,Q2,2023,West,West City 5,Consumer,Furniture,Bookcases,Mini Bookcase,11,48939,0.05,17628
ORD-2021,2022-01-16,2022-01-17,January,Q1,2022,East,East City 4,Corporate,Technology,Laptops,Dell Inspiron,10,486050,0,123886
ORD-2022,2022-09-25,2022-09-27,September,Q3,2022,South,South City 2,Home Office,Technology,Laptops,Dell Inspiron,1,26438,0.2,6486
ORD-2023,2023-03-26,2023-03-27,March,Q1,2023,West,West City 2,Consumer,Technology,Phones,Vivo V25,3,65634,0.1,5978
ORD-2024,2023-07-27,2023-07-29,July,Q3,2023,East,East City 1,Home Office,Office Supplies,Paper,A4 Paper 500,12,8520,0.05,1972
ORD-2025,2023-06-10,2023-06-16,June,Q2,2023,West,West City 1,Consumer,Furniture,Bookcases,3-Shelf Bookcase,10,269210,0.05,46553
ORD-2026,2022-12-17,2022-12-24,December,Q4,2022,West,West City 6,Consumer,Furniture,Chairs,Office Chair Pro,3,69198,0,10333
ORD-2027,2022-04-10,2022-04-17,April,Q2,2022,South,South City 3,Home Office,Furniture,Bookcases,5-Shelf Bookcase,15,109335,0.15,17837
ORD-2028,2023-08-27,2023-08-28,August,Q3,2023,West,West City 4,Consumer,Furniture,Chairs,Mesh Chair,1,28531,0.1,4289
ORD-2029,2023-03-14,2023-03-21,March,Q1,2023,North,North City 1,Consumer,Furniture,Chairs,Study Chair,11,327140,0.1,94701
ORD-2030,2023-01-21,2023-01-28,January,Q1,2023,East,East City 6,Home Office,Technology,Accessories,Mouse,12,578352,0.15,101137
ORD-2031,2022-08-22,2022-08-24,August,Q3,2022,West,West City 1,Consumer,Technology,Phones,OnePlus 11,3,177849,0.15,12290
ORD-2032,2022-07-26,2022-07-28,July,Q3,2022,South,South City 6,Home Office,Furniture,Chairs,Executive Chair,3,81123,0.05,6240
ORD-2033,2022-02-06,2022-02-11,February,Q1,2022,West,West City 1,Corporate,Technology,Phones,Realme 10,4,105472,0.15,31833
ORD-2034,2023-01-14,2023-01-19,January,Q1,2023,South,South City 2,Consumer,Office Supplies,Binders,Document Sleeve,4,7748,0.2,871
ORD-2035,2022-05-18,2022-05-22,May,Q2,2022,South,South City 2,Consumer,Office Supplies,Pens,Gel Pen Set,11,24376,0.2,2012
ORD-2036,2023-06-22,2023-06-24,June,Q2,2023,West,West City 1,Corporate,Office Supplies,Binders,Ring Binder,4,9848,0.1,2027
ORD-2037,2023-10-05,2023-10-06,October,Q4,2023,North,North City 6,Corporate,Technology,Laptops,HP Pavilion,15,109110,0.05,16633
ORD-2038,2022-09-19,2022-09-20,September,Q3,2022,East,East City 2,Consumer,Office Supplies,Pens,Ball Pen Pack,3,2196,0.1,473
ORD-2039,2023-04-09,2023-04-10,April,Q2,2023,North,North City 4,Corporate,Technology,Phones,Realme 10,2,117420,0.1,38299
ORD-2040,2022-09-08,2022-09-13,September,Q3,2022,South,South City 1,Consumer,Technology,Phones,iPhone 14,4,74224,0.1,20586
ORD-2041,2023-10-23,2023-10-24,October,Q4,2023,West,West City 4,Consumer,Office Supplies,Pens,Ball Pen Pack,12,19968,0.15,3515
ORD-2042,2023-07-27,2023-08-02,July,Q3,2023,East,East City 3,Corporate,Office Supplies,Pens,Ball Pen Pack,5,2065,0,301
ORD-2043,2023-09-28,2023-09-29,September,Q3,2023,East,East City 6,Corporate,Office Supplies,Binders,Spiral Binder,4,7884,0.2,536
ORD-2044,2022-09-26,2022-09-27,September,Q3,2022,West,West City 3,Consumer,Office Supplies,Paper,Glossy Paper,8,15664,0.15,4237
ORD-2045,2023-06-06,2023-06-08,June,Q2,2023,North,North City 1,Corporate,Furniture,Chairs,Office Chair Pro,10,168690,0.1,57515
ORD-2046,2023-12-15,2023-12-16,December,Q4,2023,North,North City 1,Home Office,Technology,Accessories,Mouse,14,432194,0.2,87691
ORD-2047,2022-05-05,2022-05-12,May,Q2,2022,East,East City 6,Consumer,Technology,Accessories,USB Hub,1,32161,0.05,10124
ORD-2048,2022-10-21,2022-10-23,October,Q4,2022,West,West City 3,Consumer,Furniture,Chairs,Gaming Chair,7,36085,0.1,11840
ORD-2049,2022-09-14,2022-09-21,September,Q3,2022,South,South City 2,Corporate,Office Supplies,Paper,A4 Paper 500,12,5232,0.1,1046
ORD-2050,2022-10-25,2022-10-30,October,Q4,2022,West,West City 2,Consumer,Office Supplies,Pens,Highlighter Pack,5,13740,0.05,2843
ORD-2051,2022-07-14,2022-07-17,July,Q3,2022,South,South City 2,Home Office,Technology,Accessories,Keyboard,10,378190,0.2,63689
ORD-2052,2023-08-10,2023-08-11,August,Q3,2023,East,East City 1,Home Office,Office Supplies,Pens,Ball Pen Pack,1,1893,0.15,180
ORD-2053,2022-07-19,2022-07-26,July,Q3,2022,North,North City 6,Consumer,Furniture,Chairs,Office Chair Pro,3,31344,0.05,9763
ORD-2054,2023-10-19,2023-10-21,October,Q4,2023,North,North City 4,Home Office,Technology,Laptops,Dell Inspiron,14,256018,0.1,53268
ORD-2055,2023-10-27,2023-10-30,October,Q4,2023,West,West City 2,Home Office,Office Supplies,Pens,Gel Pen Set,6,8886,0.2,2580
ORD-2056,2022-08-02,2022-08-09,August,Q3,2022,West,West City 1,Home Office,Furniture,Chairs,Study Chair,6,46728,0.2,6431
ORD-2057,2023-09-13,2023-09-18,September,Q3,2023,East,East City 3,Consumer,Technology,Laptops,Dell Inspiron,2,77982,0.2,10473
ORD-2058,2022-06-27,2022-07-02,June,Q2,2022,East,East City 1,Home Office,Office Supplies,Paper,Glossy Paper,1,1885,0.05,485
ORD-2059,2022-06-29,2022-07-05,June,Q2,2022,North,North City 2,Corporate,Furniture,Tables,Corner Desk,9,127890,0.15,17142
ORD-2060,2022-12-27,2022-12-29,December,Q4,2022,North,North City 5,Corporate,Office Supplies,Paper,A4 Paper 500,6,15480,0.05,3795
ORD-2061,2023-11-12,2023-11-15,November,Q4,2023,East,East City 3,Corporate,Technology,Phones,iPhone 14,5,249875,0.2,46448
ORD-2062,2022-05-26,2022-05-28,May,Q2,2022,West,West City 3,Home Office,Office Supplies,Paper,Glossy Paper,5,8610,0,2852
ORD-2063,2022-01-31,2022-02-04,January,Q1,2022,South,South City 1,Corporate,Office Supplies,Paper,Carbon Paper,15,33420,0,3946
ORD-2064,2022-12-30,2023-01-04,December,Q4,2022,South,South City 6,Home Office,Furniture,Bookcases,5-Shelf Bookcase,2,58276,0,12547
ORD-2065,2023-06-22,2023-06-29,June,Q2,2023,West,West City 6,Corporate,Office Supplies,Binders,Ring Binder,4,10544,0.05,1269
ORD-2066,2023-03-18,2023-03-20,March,Q1,2023,South,South City 1,Home Office,Furniture,Tables,Corner Desk,1,29259,0.1,2553
